A-bomb,Атомная бОмба,ˈeɪbɔm
royalty,велИчие,ˈrɔɪəltɪ
royalty,Авторский гонорАр,ˈrɔɪəltɪ
rub-a-dub,барабАнный бой,ˈrʌbəˈdʌb
rubber plant,каучуконОсное растЕние,ˈrʌbəplɑ:nt
rubber tree,каучУковое дЕрево,ˈrʌbəˈtri:
rubberized,прорезИненный,ˈrʌbəraɪzd
rubbish,хлам,ˈrʌbɪʃ
rubbish,вздор,ˈrʌbɪʃ
rubbishy,дряннОй,ˈrʌbɪʃɪ
rubble,бут,ˈrʌbl
rubble,валУн,ˈrʌbl
rubefy,дЕлать крАсным,ˈru:bɪfaɪ
rubicund,румЯный,ˈru:bɪkənd
rubidium,рубИдий,ru:ˈbɪdɪəm
rubiginous,ржАвого цвЕта,ru:ˈbɪdʒɪnəs
rubric,рУбрика,ˈru:brɪk
rubric,абзАц,ˈru:brɪk
rubricate,разбивАть на абзАцы,ˈru:brɪkeɪt
rubricate,снабжАть подзаголОвками,ˈru:brɪkeɪt
rubricate,отмечАть,ˈru:brɪkeɪt
ruche,рюш,ru:ʃ
ruck,мАсса,rʌk
ruck,толпА,rʌk
rucksack,рюкзАк,ˈruksæk
rudder,руль,ˈrʌdə
rudder,руководЯщий прИнцип,ˈrʌdə
rudderless,без рулЯ,ˈrʌdəlɪs
ruddiness,краснотА,ˈrʌdɪnɪs
ruddiness,румЯнец,ˈrʌdɪnɪs
ruddock,малИновка,ˈrʌdək
rude,грУбый,ru:d
rude,невЕжественный,ru:d
rude,необрабОтанный,ru:d
rude,грУбо сдЕланный,ru:d
rude,сИльный,ru:d
rude,неотдЕланный,ru:d
rude,примитИвный,ru:d
rude,неприлИчный,ru:d
rude,бУрный,ru:d
rude,крЕпкий,ru:d
rudeness,грУбость,ˈru:dnɪs
rudiment,рудиментАрный Орган,ˈru:dɪmənt
rudimentary,зачАточный,ˌru:dɪˈmentərɪ
rudimentary,элементАрный,ˌru:dɪˈmentərɪ
rueful,унЫлый,ˈru:ful
rueful,жАлкий,ˈru:ful
rueful,пОлный сожалЕния,ˈru:ful
ruff,брЫжи,rʌf
ruff,турухтАн,rʌf
ruffian,хулигАн,ˈrʌfjən
ruffianism,хулигАнство,ˈrʌfjənɪzm
ruffianly,хулигАнский,ˈrʌfjənlɪ
rufous,красновАто,ˈru:fəs
rug,ковЁр,rʌg
rug,плед,rʌg
rug,меховАя пОлость,rʌg
Rugby,рЕгби,ˈrʌgbɪ
rugged,сурОвый,ˈrʌgɪd
rugged,грУбый,ˈrʌgɪd
rugged,прОчный,ˈrʌgɪd
rugged,бУрный,ˈrʌgɪd
rugged,тяжЁлый,ˈrʌgɪd
rugose,морщИнистый,ˈru:gəus
rugosity,морщИнистость,ru:ˈgɔsɪtɪ
rugosity,морщИна,ru:ˈgɔsɪtɪ
ruinous,разорИтельный,ˈruɪnəs
ruinous,разрУшенный,ˈruɪnəs
ruler,правИтель,ˈru:lə
rum,ром,rʌm
rum,стрАнный,rʌm
rumble-tumble,трЯска,ˈrʌmblˈtʌmbl
rumble-tumble,громОздкий трЯский экипАж,ˈrʌmblˈtʌmbl
rumen,рубЕц,ˈru:mɪn
ruminate,жевАть жвАчку,ˈru:mɪneɪt
ruminate,раздУмывать,ˈru:mɪneɪt
rumination,жевАние жвАчки,ˌru:mɪˈneɪʃən
rumination,размышлЕние,ˌru:mɪˈneɪʃən
rummage sale,распродАжа случАйных вещЕй,ˈrʌmɪdʒˈseɪl
rummer,кУбок,ˈrʌmə
rumormongering,распространЕние слУхов,ˈru:məˌmʌŋgərɪŋ
rump,крестЕц,rʌmp
rumple,мять,ˈrʌmpl
rumple,ерОшить вОлосы,ˈrʌmpl
rumpsteak,кусОк вЫрезки,ˈrʌmpˈsteɪk
rumpusroom,кОмната для игр,ˈrʌmpəsru:m
runagate,бродЯга,ˈrʌnəgeɪt
rune,рУна,ru:n
rung,ступЕнька стремЯнки,rʌŋ
rung,приставнОй лЕстницы,rʌŋ
rung,спИца колесА,rʌŋ
runlet,ручеЁк,ˈrʌnlɪt
runnel,ручеЁк,ˈrʌnl
runnel,канАва,ˈrʌnl
runner,бегУн,ˈrʌnə
runner,инкассАтор,ˈrʌnə
runner,посЫльный,ˈrʌnə
runner,контрабандИст,ˈrʌnə
runner,контрабАндное сУдно,ˈrʌnə
runner,пОлоз,ˈrʌnə
runner,лЕзвие,ˈrʌnə
runner,дорОжка,ˈrʌnə
runner,ползУчее растЕние,ˈrʌnə
runner,ус,ˈrʌnə
runnerup,учАстник состязАния,ˈrʌnərˈʌp
running knot,затяжнОй Узел,ˈrʌnɪŋˈnɔt
running mate,человЕк,ˈrʌnɪŋˈmeɪt
running title,колонтИтул,ˈrʌnɪŋˈtaɪtl
runningboard,поднОжка,ˈrʌnɪŋbɔ:d
runny,текУчий,ˈrʌnɪ
runny,слезЯщийся,ˈrʌnɪ
runon,приложЕние,ˈrʌnɔn
runout,изнАшивание,ˈrʌnaut
runout,вЫход,ˈrʌnaut
runout,движЕние по инЕрции,ˈrʌnaut
runt,низкорОслое живОтное,rʌnt
runt,кАрликовое растЕние,rʌnt
runthrough,просмОтр,ˈrʌnθru:
runup,разбЕг,ˈrʌnʌp
runway,спуск для гидросамолЁтов,ˈrʌnweɪ
runway,тропА к водопОю,ˈrʌnweɪ
runway,лОже рекИ,ˈrʌnweɪ
rupee,рУпия,ru:ˈpi:
rural,сЕльский,ˈruərəl
rusarian,любИтель роз,rəuˈzeɪrɪən
ruse,улОвка,ru:z
rush,совершЕнный пустЯк,rʌʃ
rush,стремИтельное движЕние,rʌʃ
rush,стремлЕние,rʌʃ
rush,большОй спрос,rʌʃ
rush,напряжЕние,rʌʃ
rush,дЕйствовать,rʌʃ
rush,увлекАть,rʌʃ
rush,дуть порЫвами,rʌʃ
rush,бЫстро доставлЯть,rʌʃ
rushhours,часЫ пик,ˈrʌʃˈauəz
rushlight,свечА с фитилЁм из сердцевИны сИтника,ˈrʌʃlaɪt
rushy,порОсший камышОм,ˈrʌʃɪ
rushy,тростникОвый,ˈrʌʃɪ
rusk,сухАрь,rʌsk
russule,сыроЕжка,ˈrʌsju:l
rusticate,удалИться в дерЕвню,ˈrʌstɪkeɪt
rusticate,прививАть простЫе,ˈrʌstɪkeɪt
rusticate,врЕменно исключАть,ˈrʌstɪkeɪt
rustication,удалЕние в дерЕвню,ˌrʌstɪˈkeɪʃən
rustication,врЕменное исключЕние,ˌrʌstɪˈkeɪʃən
rusticity,безыскУсственность,rʌsˈtɪsɪtɪ
rusticity,деревЕнские нрАвы,rʌsˈtɪsɪtɪ
rustproof,нержавЕющий,ˈrʌstpru:f
rusty,заржАвленный,ˈrʌstɪ
rusty,цвЕта ржАвчины,ˈrʌstɪ
rusty,запУщенный,ˈrʌstɪ
rusty,устарЕвший,ˈrʌstɪ
rusty,норовИстый,ˈrʌstɪ
rutabaga,брЮква,ˌru:təˈbeɪgə
ruth,жАлость,ru:θ
ruthenium,рутЕний,ru:ˈθi:njəm
ruthless,безжАлостный,ˈru:θlɪs
rye,рожь,raɪ
ryebread,ржанОй хлеб,ˈraɪˈbred
ryot,индИйский крестьЯнин,ˈraɪət
sabbath,суббОта,ˈsæbəθ
sabbath,воскресЕнье,ˈsæbəθ
sabbath school,воскрЕсная шкОла,ˈsæbəθˈsku:l
sabbatic,суббОтний,səˈbætɪk
sabbatic,воскрЕсный,səˈbætɪk
sabbatical,суббОтний,səˈbætɪkəl
sabbatical,воскрЕсный,səˈbætɪkəl
sable,сОболь,ˈseɪbl
sable,собОлий мех,ˈseɪbl
sable,чЁрный цвет,ˈseɪbl
sabot,деревЯнный башмАк,ˈsæbəu
saboteur,диверсАнт,ˌsɑ:bəˈtə:
sabrerattle,бряцАть орУжием,ˈseɪbəˌrætl
sabretache,тАшка,ˈsæbətæʃ
sabulous,песчАный,ˈsæbjuləs
sac,сак,sæk
saccate,мешкообрАзный,ˈsækeɪt
saccate,заключЁнный в мешОчек,ˈsækeɪt
saccharin,сахарИн,ˈsækərɪn
saccharine,сАхарный,ˈsækərɪn
saccharine,слащАвый,ˈsækərɪn
saccharose,сахарОза,ˈsækərəus
sacerdotal,свящЕннический,ˌsæsəˈdəutl
sacerdotalism,систЕма госудАрственного управлЕния,ˌsæsəˈdəutəlɪzm
sachem,вождь,ˈseɪtʃəm
sachem,вождь конфедерАции североамерикАнских индЕйских племЁн,ˈseɪtʃəm
sack,бЕлое сухОе винО,sæk
sackcloth,холст,ˈsækklɔθ
sackcloth,власянИца,ˈsækklɔθ
sackcoat,ширОкое,ˈsækkəut
sackful,пОлный мешОк,ˈsækful
sackrace,бег в мешкАх,ˈsækreɪs
sacral,обрЯдовый,ˈseɪkrəl
sacrament,сИмвол,ˈsækrəmənt
sacrament,клЯтва,ˈsækrəmənt
sacramental,сакраментАльный,ˌsækrəˈmentl
sacramental,клЯтвенный,ˌsækrəˈmentl
sacred,свящЕнный,ˈseɪkrɪd
sacred,неприкосновЕнный,ˈseɪkrɪd
sacred,посвящЁнный,ˈseɪkrɪd
sacrificial,жЕртвенный,ˌsækrɪˈfɪʃəl
sacrilege,святотАтство,ˈsækrɪlɪdʒ
sacrilegious,святотАтственный,ˌsækrɪˈlɪdʒəs
sacrist,рИзничий,ˈsækrɪst
sacristan,рИзничий,ˈsækrɪstən
sacristy,рИзница,ˈsækrɪstɪ
sacrosanct,свящЕнный,ˈsækrəusæŋkt
sacrum,крестЕц,ˈseɪkrəm
sad,печАльный,sæd
sad,тУсклый,sæd
sadden,печАлить,ˈsædn
saddle shoes,тУфли с цветнЫми соЮзками,ˈsædlˈʃu:z
saddle strap,вьЮчный ремЕнь,ˈsædlˈstræp
saddleback,седловИна,ˈsædlbæk
saddlebag,седЕльный вьюк,ˈsædlbæg
saddleblanket,потнИк,ˈsædlˌblæŋkɪt
saddlebow,седЕльная лукА,ˈsædlbəu
saddlecloth,чепрАк,ˈsædlklɔθ
saddlefast,крЕпко держАщийся в седлЕ,ˈsædlfɑ:st
saddlegirth,подпрУга,ˈsædlgə:θ
saddlehorse,верховАя лОшадь,ˈsædlhɔ:s
saddlepin,опОрная стОйка седлА,ˈsædlpɪn
saddler,седЕльный мАстер,ˈsædlə
saddlery,шОрное дЕло,ˈsædlərɪ
saddlery,шОрная мастерскАя,ˈsædlərɪ
saddlery,седЕльное снаряжЕние,ˈsædlərɪ
saddlespring,седЕльный амортизАтор,ˈsædlsprɪŋ
sadiron,массИвный утЮг,ˈsædˌaɪən
sadism,садИзм,ˈseɪdɪzm
sadist,садИст,ˈseɪdɪst
sadness,печАль,ˈsædnɪs
safari,сафАри,səˈfɑ:rɪ
safe conduct,охрАнное свидЕтельство,ˈseɪfˈkɔndʌkt
safe conduct,охрАна,ˈseɪfˈkɔndʌkt
safe deposit,хранИлище,ˈseɪfdɪˌpɔzɪt
safety,безопАсность,ˈseɪftɪ
safety curtain,противопожАрный асбЕстовый зАнавес,ˈseɪftɪˌkə:tn
safety film,безопАсная,ˈseɪftɪfɪlm
safety glass,небьЮщееся,ˈseɪftɪglɑ:s
safety island,островОк безопАсности,ˈseɪftɪˌaɪlənd
safety lamp,безопАсная лАмпа,ˈseɪftɪlæmp
safety razor,безопАсная брИтва,ˈseɪftɪˌreɪzə
safety strip,полосА безопАсности,ˈseɪftɪstrɪp
safety-valve,предохранИтельный клАпан,ˈseɪftɪvælv
safety-valve,проводИть полИтику репрЕссий,ˈseɪftɪvælv
safetybelt,спасАтельный пОяс,ˈseɪftɪbelt
safetybolt,предохранИтельный болт,ˈseɪftɪbəult
safetynut,контргАйка,ˈseɪftɪnʌt
safetypin,безопАсная,ˈseɪftɪpɪn
saffian,сафьЯн,ˈsæfjən
saffron,шафрАн,ˈsæfrən
saga,сАга,ˈsɑ:gə
sagacious,проницАтельный,səˈgeɪʃəs
sagacious,здравомЫслящий,səˈgeɪʃəs
sagacious,Умный,səˈgeɪʃəs
sagacity,проницАтельность,səˈgæsɪtɪ
sagacity,сообразИтельность,səˈgæsɪtɪ
sagacity,практИческий ум,səˈgæsɪtɪ
sage tea,настОй шалфЕя,ˈseɪdʒti:
sagebrush,полЫнь,ˈseɪdʒbrʌʃ
saggar,кАпсула для Обжига керамИческих издЕлий,ˈsægə
sagger,кАпсула для Обжига керамИческих издЕлий,ˈsægə
sagittal,стреловИдный,ˈsædʒɪtl
Sagittarius,СтрелЕц,ˌsædʒɪˈtɛərɪəs
sago,сАго,ˈseɪgəu
sahib,сагИб,ˈsɑ:hɪb
sailboat,пАрусная шлЮпка,ˈseɪlbəut
sailcloth,парусИна,ˈseɪlklɔθ
sailer,пАрусное сУдно,ˈseɪlə
sailing-craft,пАрусное сУдно,ˈseɪlɪŋkrɑ:ft
sailing-master,штУрман,ˈseɪlɪŋˌmɑ:stə
sailing-ship,пАрусное сУдно,ˈseɪlɪŋʃɪp
sailor,матрОс,ˈseɪlə
sailorly,лОвкий,ˈseɪləlɪ
sailorly,характЕрный для морякА,ˈseɪləlɪ
sailplane,планЁр,ˈseɪlpleɪn
sainfoin,эспарцЕт,ˈsænfɔɪn
saint,святОй,seɪnt
sainted,святОй,ˈseɪntɪd
sainted,канонизИрованный,ˈseɪntɪd
sainthood,свЯтость,ˈseɪnthud
saintly,безгрЕшный,ˈseɪntlɪ
sake,вот тебЕ раз,seɪk
sal,соль,sæl
sal volatile,нЮхательная соль,ˌsælvəˈlætəlɪ
salable,пОльзующийся спрОсом,ˈseɪləbl
salable,схОдный,ˈseɪləbl
salacious,похотлИвый,səˈleɪʃəs
salacious,непристОйный,səˈleɪʃəs
salacity,похотлИвость,səˈlæsɪtɪ
salacity,непристОйность,səˈlæsɪtɪ
salad,салАт,ˈsæləd
saladbowl,салАтница,ˈsælədbəul
saladdays,порА Юношеской неОпытности,ˈsæləddeɪz
saladdressing,запрАвка к салАту,ˈsælədˌdresɪŋ
saladoil,олИвковое,ˈsælədˈɔɪl
salamander,жарОвня,ˈsæləˌmændə
salammoniac,нашатЫрь,ˌsæləˈməunɪæk
salaried,получАющий жАлованье,ˈsælərɪd
salary,жАлованье,ˈsælərɪ
sale,продАжа,seɪl
sale,продАжа с аукциОна,seɪl
saleprice,снИженная ценА,ˈseɪlpraɪs
saleroom,аукциОнный зал,ˈseɪlrum
salesman,продавЕц,ˈseɪlzmən
salesman,комиссионЕр,ˈseɪlzmən
salesmanship,умЕние продавАть,ˈseɪlzmənʃɪp
salespeople,продавцЫ,ˈseɪlzˌpi:pl
saleswoman,продавщИца,ˈseɪlzˌwumən
salience,вЫпуклость,ˈseɪljəns
salience,вЫступ,ˈseɪljəns
salient,клин,ˈseɪljənt
salinity,солЁность,səˈlɪnɪtɪ
saliva,слюнА,səˈlaɪvə
salivary,слЮнный,ˈsælɪvərɪ
salivate,вызывАть слюнотечЕние,ˈsælɪveɪt
salivate,выделЯть слюнУ,ˈsælɪveɪt
salivation,слюнотечЕние,ˌsælɪˈveɪʃən
sallyport,ворОта для вЫлазок,ˈsælɪpɔ:t
salmagundi,смесь,ˌsælməˈgʌndɪ
salmi,рагУ из дИчи,ˈsælmi:
salmon,без измен,ˈsæmən
salmon trout,кУмжа,ˈsæmənˈtraut
salon,гостИная,sæˈlɔ:ŋ
salon,салОн,sæˈlɔ:ŋ
saloon,салОн,səˈlu:n
saloon deck,пассажИрская пАлуба,səˈlu:ndek
saloonkeeper,трактИрщик,səˈlu:nˌki:pə
Salopian,урожЕнец грАфства ШрОпшир,səˈləupjən
Salopian,гОрода ШрУсбери,səˈləupjən
salsify,козлоборОдник,ˈsælsɪfɪ
salt beef,солонИна,ˈsɔ:ltbi:f
salt junk,солонИна,ˈsɔ:ltdʒʌŋk
salt-cake,сернокИслый нАтрий,ˈsɔ:ltkeɪk
salt-cat,примАнка для голубЕй,ˈsɔ:ltkæt
salt-cellar,солОнка,ˈsɔ:ltˌselə
salt-lick,мЕсто,ˈsɔ:ltlɪk
salt-marsh,солончАк,ˈsɔ:ltmɑ:ʃ
salt-mine,солянАя шАхта,ˈsɔ:ltmaɪn
salt-pan,чрен для вЫпарки рассОла,ˈsɔ:ltpæn
salt-pan,солянОе Озеро,ˈsɔ:ltpæn
salt-petre,селИтра,ˈsɔ:ltˌpi:tə
salt-pond,солянОй пруд,ˈsɔ:ltpɔnd
salt-spoon,лОжечка для сОли,ˈsɔ:ltspu:n
salt-water,морскОй,ˈsɔ:ltˌwɔ:tə
saltation,прЫганье,sælˈteɪʃən
saltation,скачОк,sælˈteɪʃən
saltation,неожИданное изменЕние движЕния,sælˈteɪʃən
saltatory,прЫгающий,ˈsæltətərɪ
saltatory,скачкообрАзный,ˈsæltətərɪ
saltern,солевАрня,ˈsɔ:ltə:n
saltglaze,облИвка,ˈsɔ:ltgleɪz
saltwort,солЯнка,ˈsɔ:ltwɔ:t
salty,солЁный,ˈsɔ:ltɪ
salty,непристОйный,ˈsɔ:ltɪ
salubrious,здорОвый,səˈlu:brɪəs
salubrity,крЕпкое здорОвье,səˈlu:brɪtɪ
salubrity,услОвия,səˈlu:brɪtɪ
salubrity,свОйства,səˈlu:brɪtɪ
salutary,целИтельный,ˈsæljutərɪ
salutation,привЕтствие,ˌsælju:ˈteɪʃən
salutatory,привЕтственный,səˈlju:tətərɪ
salvation,спасЕние,sælˈveɪʃən
Salvation Army,Армия СпасЕния,sælˈveɪʃənˈɑ:mɪ
Salvationist,член Армии СпасЕния,sælˈveɪʃnɪst
salver,поднОс,ˈsælvə
salvo,оговОрка,ˈsælvəu
salvo,увЁртка,ˈsælvəu
salvo,залп,ˈsælvəu
salvo,бОмбовый залп,ˈsælvəu
salvo,взрыв аплодисмЕнтов,ˈsælvəu
salvor,спасАтельный корАбль,ˈsælvə
salvor,человЕк,ˈsælvə
samara,крылАтка,səˈmɑ:rə
samarium,самАрий,səˈmeɪrɪəm
same,вышеупомЯнутый,seɪm
samel,плОхо обожжЁнный,ˈsæməl
sameness,одинАковость,ˈseɪmnɪs
sameness,однообрАзие,ˈseɪmnɪs
samite,тяжЁлый шЁлк,ˈsæmaɪt
samlet,молодОй лОсОсь,ˈsæmlɪt
samp,маИсовая крупА,sæmp
samp,кАша,sæmp
sampan,сампАн,ˈsæmpæn
samphire,крИтмум морскОй,ˈsæmfaɪə
sampler,образЕц вЫшивки,ˈsɑ:mplə
Samson,силАч,ˈsæmsn
Samuel,СамуИл,ˈsæmjuəl
samurai,без измен,ˈsæmuraɪ
sanative,целЕбный,ˈsænətɪv
sanctify,освящАть,ˈsæŋktɪfaɪ
sanctify,очищАть от порОка,ˈsæŋktɪfaɪ
sanctify,посвящАть,ˈsæŋktɪfaɪ
sanctify,санкционИровать,ˈsæŋktɪfaɪ
sanctimonious,хАнжеский,ˌsæŋktɪˈməunjəs
sanctimony,хАнжествО,ˈsæŋktɪmənɪ
sanctity,свЯтость,ˈsæŋktɪtɪ
sanctity,святЫня,ˈsæŋktɪtɪ
sanctuary,святИлище,ˈsæŋktjuərɪ
sanctuary,убЕжище,ˈsæŋktjuərɪ
sanctuary,заповЕдник,ˈsæŋktjuərɪ
sand hog,рабОчий,ˈsændhɔg
sandal,сандАловое дЕрево,ˈsændl
sandal wood,сандАловое дЕрево,ˈsændlwud
sandbank,песчАная Отмель,ˈsændbæŋk
sandbar,нанОсный песчАный бар,ˈsændbɑ:
sandbath,песчАная бАня,ˈsændbɑ:θ
sandbed,песчАное дно,ˈsændbed
sandbox,песОчница,ˈsændbɔks
sandbox,литЕйная фОрма с пескОм,ˈsændbɔks
sandcrack,трЕщина на копЫте у лОшади,ˈsændkræk
sandcrack,трЕщина в кирпичЕ,ˈsændkræk
sanddune,дЮна,ˈsændˈdju:n
sandeel,песчАнка,ˈsændˈi:l
sandglass,песОчные часЫ,ˈsændglɑ:s
sandhill,дЮна,ˈsændhɪl
sandman,дрЁма,ˈsændmæn
sandmartin,береговАя лАсточка,ˈsændˌmɑ:tɪn
sandpaper,наждАчная бумАга,ˈsændˌpeɪpə
sandpiper,перевОзчик,ˈsændˌpaɪpə
sandpit,песчАный карьЕр,ˈsændpɪt
sandshoes,текстИльные тУфли на резИновой подОшве для плЯжа,ˈsændʃu:z
sandspout,песчАный смерч,ˈsændspaut
sandstone,песчАник,ˈsændstəun
sandstorm,самУм,ˈsændstɔ:m
sandwichboard,реклАмные щитЫ,ˈsænwɪdʒbɔ:d
sandwichman,человЕк,ˈsænwɪdʒmæn
sandy,песчАный,ˈsændɪ
sandy,рыжевАтый,ˈsændɪ
sandy,непрОчный,ˈsændɪ
sane,нормАльный,seɪn
sane,здрАвый,seɪn
sanforize,декатировАть,ˈsɔnfəraɪz
sanguinary,кровАвый,ˈsæŋgwɪnərɪ
sanguinary,кровожАдный,ˈsæŋgwɪnərɪ
sanguinary,проклЯтый,ˈsæŋgwɪnərɪ
sanguine,сангвИна,ˈsæŋgwɪn
sanguine,окрАсить,ˈsæŋgwɪn
sanguineous,полнокрОвный,sæŋˈgwɪnɪəs
sanguineous,кровАво,sæŋˈgwɪnɪəs
sanguineous,кровопролИтный,sæŋˈgwɪnɪəs
sanguivorous,кровососУщий,sæŋˈgwɪvərəs
sanhedrim,синедриОн,ˈsænɪdrɪm
sanies,ихорОзный гной,ˈseɪnɪi:z
sanitary,санитАрный,ˈsænɪtərɪ
sanitate,улучшАть санитАрное состоЯние,ˈsænɪteɪt
sanitate,оборУдовать санУзел в помещЕнии,ˈsænɪteɪt
sanitation,оздоровлЕние,ˌsænɪˈteɪʃən
sanitation,санитарИя,ˌsænɪˈteɪʃən
sanity,нормАльная псИхика,ˈsænɪtɪ
sanity,здрАвый ум,ˈsænɪtɪ
sansculotte,Ярый республикАнец,ˌsænzkjuˈlɔt
Santa Claus,САнта КлАус,ˌsæntəˈklɔ:z
sap,вестИ сАпу,sæp
sap-green,зелЁная крАска из Ягод крушИны,ˈsæpˈgri:n
sap-rot,зАболонная гниль,ˈsæprɔt
sap-wood,зАболонь,ˈsæpwud
sapid,вкУсный,ˈsæpɪd
sapid,интерЕсный,ˈsæpɪd
sapidity,вкус,səˈpɪdɪtɪ
sapidity,содержАтельность,səˈpɪdɪtɪ
sapience,мУдрость,ˈseɪpjəns
sapient,мУдрый,ˈseɪpjənt
sapiential,мУдрый,ˌseɪpɪˈenʃəl
sapless,сухОй,ˈsæplɪs
sapless,вЯлый,ˈsæplɪs
sapless,неинтерЕсный,ˈsæplɪs
sapling,молодОе дЕревце,ˈsæplɪŋ
sapling,молодОе существО,ˈsæplɪŋ
sapling,борзАя однолЕтка,ˈsæplɪŋ
saponaceous,мЫльный,ˌsæpəuˈneɪʃəs
sapor,вкус,ˈseɪpə
sapper,сапЁр,ˈsæpə
sappy,сОчный,ˈsæpɪ
sappy,сИльный,ˈsæpɪ
saprogenic,сапрогЕнный,ˌsæprəuˈdʒenɪk
saprogenous,сапрогЕнный,səˈprɔdʒɪnəs
saprophyte,сапрофИт,ˈsæprəufaɪt
saraband,сарабАнда,ˈsærəbænd
Saracen,сарацИн,ˈsærəsn
sarafan,сарафАн,ˌsærəˈfæn
Saratoga,большОй чемодАн,ˌsærəˈtəugə
sarcasm,саркАзм,ˈsɑ:kæzm
sarcastic,саркастИческий,sɑ:ˈkæstɪk
sarcenet,подклАдочный шЁлк,ˈsɑ:snɪt
sarcoma,саркОма,sɑ:ˈkəumə
sardine,сардИна,sɑ:ˈdi:n
sardonic,сардонИческий,sɑ:ˈdɔnɪk
sardonyx,сардонИкс,ˈsɑ:dənɪks
sargasso,саргАссовая вОдоросль,sɑ:ˈgæsəu
sari,сАри,ˈsɑ:ri:
sarong,сарОнг,səˈrɔŋ
sartor,портнОй,ˈsɑ:tɔ:
sartorial,портнЯжный,sɑ:ˈtɔ:rɪəl
Sasenach,англичАнин,ˈsæsənæk
sash-door,застеклЁнная дверь,ˈsæʃˈdɔ:
sash-tool,небольшАя малЯрная кисть,ˈsæʃˈtu:l
sash-window,подъЁмное окнО,ˈsæʃˈwɪndəu
saskatoon,иргА ольхолИстная,ˌsæskəˈtu:n
sassafras,сассафрАс,ˈsæsəfræs
Satan,сатанА,ˈseɪtən
Satanic,сатанИнский,səˈtænɪk
satchel,сУмка,ˈsætʃəl
sateen,сатИн,sæˈtɪn
satellite,приспЕшник,ˈsætəlaɪt
satellite,искУсственный спУтник,ˈsætəlaɪt
satellite,завИсимое госудАрство,ˈsætəlaɪt
satellite town,гОрод,ˈsætəlaɪttaunʌ
satiable,могУщий быть удовлетворЁнным,ˈseɪʃjəbl
satiation,насыщЕние,ˌseɪʃɪˈeɪʃən
satiation,пресыщЕние,ˌseɪʃɪˈeɪʃən
satiety,насыщЕние,səˈtaɪətɪ
satiety,пресыщЕние,səˈtaɪətɪ
satin paper,сатинИрованная бумАга,ˈsætɪnˌpeɪpə
satin-wood,атлАсное дЕрево,ˈsætɪnwud
satin-wood,егО древесИна,ˈsætɪnwud
satinet,сатинЕт,ˌsætɪˈnet
satiny,атлАсный,ˈsætɪnɪ
satire,сатИра,ˈsætaɪə
satire,ирОния,ˈsætaɪə
satiric,сатирИческий,səˈtɪrɪk
satirical,сатирИческий,səˈtɪrɪkəl
satirist,сатИрик,ˈsætərɪst
satirize,высмЕивать,ˈsætəraɪz
satisfaction,удовлетворЕние,ˌsætɪsˈfækʃən
satisfaction,сатисфАкция,ˌsætɪsˈfækʃən
satisfaction,принЯть вЫзов на дуЭль,ˌsætɪsˈfækʃən
satisfaction,принестИ извинЕния,ˌsætɪsˈfækʃən
satisfaction,уплАта дОлга,ˌsætɪsˈfækʃən
satisfaction,расплАта,ˌsætɪsˈfækʃən
satisfactory,удовлетворИтельный,ˌsætɪsˈfæktərɪ
satisfactory,приЯтный,ˌsætɪsˈfæktərɪ
satisfy,удовлетворЯть,ˈsætɪsfaɪ
satisfy,погашАть,ˈsætɪsfaɪ
satisfy,выполнЯть,ˈsætɪsfaɪ
satisfy,убеждАть,ˈsætɪsfaɪ
satrap,сатрАп,ˈsætrəp
satrapy,сатрАпия,ˈsætrəpɪ
saturate,промОкший,ˈsætʃəreɪt
saturation,насыщЕние,ˌsætʃəˈreɪʃən
Saturday,суббОта,ˈsætədɪ
Saturn,СатУрн,ˈsætən
saturnine,мрАчный,ˈsætə:naɪn
saturnine,свинцОвый,ˈsætə:naɪn
saturnism,отравлЕние свинцОм,ˈsætə:nɪzm
satyr,сатИр,ˈsætə
satyr,распУтник,ˈsætə
sauce-boat,сОусник,ˈsɔ:sbəut
saucebox,нахАл,ˈsɔ:sbɔks
saucepan,кастрЮля,ˈsɔ:spən
saucer,блЮдце,ˈsɔ:sə
saucer,поддОнник,ˈsɔ:sə
saucy,дЕрзкий,ˈsɔ:sɪ
saucy,живОй,ˈsɔ:sɪ
sauerkraut,кИслая капУста,ˈsauəkraut
sauna,фИнская парнАя бАня,ˈsaunə
saurian,относЯщийся к ископАемым Ящерам,ˈsɔ:rɪən
saury,макрелещУка,ˈsɔ:rɪ
sausage,колбасА,ˈsɔsɪdʒ
sausage roll,пирожОк с мЯсом,ˈsɔsɪdʒrəul
sausage roll,сосИска,ˈsɔsɪdʒrəul
sausage-meat,колбАсный фарш,ˈsɔsɪdʒmi:t
sausage-poisoning,отравлЕние колбАсным Ядом,ˈsɔsɪdʒˌpɔɪznɪŋ
savagery,дИкость,ˈsævɪdʒərɪ
savagery,жестОкость,ˈsævɪdʒərɪ
savanna,савАнна,səˈvænə
savannah,савАнна,səˈvænə
saveloy,вЫдержанная сухАя колбасА,ˈsævɪlɔɪ
saver,бережлИвый человЕк,ˈseɪvə
savin,спасИтельный,ˈsævɪn
savin,бережлИвый,ˈsævɪn
savin,содержАщий оговОрку,ˈsævɪn
savin,спасЕние,ˈsævɪn
savin,эконОмия,ˈsævɪn
savings-bank,сберегАтельная кАсса,ˈseɪvɪŋzˈbæŋk
